ENSEMBL_gene_id	Chromosome	Gene_start	Gene_end	HGNC_symbol
ENSG00000209353	1	683476	683578	AL669831.13-1
ENSG00000223181	1	683476	683579	U6
ENSG00000197049	1	711183	712376	AL669831.13-3
ENSG00000177757	1	742614	745077	FAM87B
ENSG00000217713	1	798535	799592	RP11-206L10.13
ENSG00000221146	1	798710	798820	AL669831.13-4
ENSG00000209354	1	798710	798820	AL669831.13-2
ENSG00000187634	1	850393	869824	SAMD11
ENSG00000188976	1	869459	884494	NOC2L
ENSG00000187961	1	885830	890958	KLHL17
ENSG00000187583	1	891740	900339	PLEKHN1
ENSG00000187642	1	900447	907336	C1orf170
ENSG00000188290	1	924208	925333	HES4
ENSG00000217453	1	933317	933472	RP11-54O7.10
ENSG00000187608	1	938742	939782	ISG15
ENSG00000188157	1	945366	981355	AGRN
ENSG00000217801	1	988308	994570	AL390719.47-1
ENSG00000131591	1	1007061	1041341	C1orf159
ENSG00000215916	1	1007068	1041338	AL390719.47-2
ENSG00000207730	1	1092347	1092441	hsa-mir-200b
ENSG00000207607	1	1093106	1093195	hsa-mir-200a
ENSG00000198976	1	1094248	1094330	hsa-mir-429
ENSG00000205231	1	1098299	1104798	AL390719.47-3
ENSG00000162571	1	1099146	1123178	TTLL10
ENSG00000186891	1	1128752	1131952	TNFRSF18
ENSG00000186827	1	1136583	1139411	TNFRSF4
ENSG00000078808	1	1142177	1157274	SDF4
ENSG00000176022	1	1157492	1160284	B3GALT6
ENSG00000184163	1	1167696	1171965	FAM132A
ENSG00000160087	1	1179157	1199097	UBE2J2
ENSG00000162572	1	1204310	1217267	SCNN1D
ENSG00000131584	1	1217633	1233132	ACAP3
ENSG00000169972	1	1233857	1236919	PUSL1
ENSG00000127054	1	1236828	1249909	CPSF3L
ENSG00000215792	1	1250006	1254139	GLTPD1
ENSG00000187488	1	1250006	1254139	AL139287.24
ENSG00000169962	1	1256589	1260550	TAS1R3
ENSG00000107404	1	1260522	1274623	DVL1
ENSG00000162576	1	1277935	1286506	MXRA8
ENSG00000175756	1	1298973	1300443	AURKAIP1
ENSG00000218550	1	1303907	1304275	RP5-890O3.3
ENSG00000221978	1	1311738	1324560	CCNL2
ENSG00000131586	1	1327164	1332524	MRPL20
ENSG00000222780	1	1330704	1330995	SRP_euk_arch
ENSG00000205116	1	1351371	1353030	AL391244.11-1
ENSG00000179403	1	1360772	1366008	VWA1
ENSG00000215915	1	1374932	1394342	ATAD3C
ENSG00000160072	1	1397006	1421444	ATAD3B
ENSG00000197785	1	1437394	1459928	ATAD3A
ENSG00000205090	1	1460429	1465603	C1orf70
ENSG00000160075	1	1466917	1500125	SSU72
ENSG00000215791	1	1488736	1489138	AL645728.31
ENSG00000197530	1	1540736	1555853	MIB2
ENSG00000189409	1	1557421	1559893	MMP23B
ENSG00000215914	1	1557423	1623109	AL031282.1
ENSG00000189229	1	1560963	1645632	AL691432.53
ENSG00000189339	1	1582802	1614027	RP11-345P4.4
ENSG00000008128	1	1624029	1645637	CDC2L2
ENSG00000215790	1	1646137	1667291	SLC35E2
ENSG00000219541	1	1657116	1658550	RP1-283E3.4
ENSG00000008130	1	1672531	1701368	NADK
ENSG00000078369	1	1706590	1812355	GNB1
ENSG00000169885	1	1836126	1838593	CALML6
ENSG00000178821	1	1838889	1840580	TMEM52
ENSG00000205073	1	1843260	1849228	C1orf222
ENSG00000142609	1	1874612	1925136	KIAA1751
ENSG00000187730	1	1940703	1952050	GABRD
ENSG00000067606	1	1971769	2106692	PRKCZ
ENSG00000182873	1	2103093	2105174	AL590822.36
ENSG00000162585	1	2105777	2122397	C1orf86
ENSG00000157933	1	2149994	2229316	SKI
ENSG00000116151	1	2242556	2346079	MORN1
ENSG00000178642	1	2306716	2307602	AL513477.21
ENSG00000157916	1	2313074	2326734	RER1
ENSG00000157911	1	2326103	2333870	PEX10
ENSG00000149527	1	2397614	2426829	PLCH2
ENSG00000157881	1	2429835	2447895	PANK4
ENSG00000197921	1	2450046	2451544	HES5
ENSG00000157873	1	2479153	2486757	TNFRSF14
ENSG00000157870	1	2508097	2512762	C1orf93
ENSG00000142606	1	2511941	2554289	MMEL1
ENSG00000215913	1	2562667	2566862	AL831784.17
ENSG00000215912	1	2690014	2696096	TTC34
ENSG00000177133	1	2775209	2970210	AL592464.24
ENSG00000169717	1	2927906	2929325	ACTRT2
ENSG00000177121	1	2970496	2974193	AL008733.10
ENSG00000142611	1	2975604	3345043	PRDM16
ENSG00000130762	1	3361100	3387537	ARHGEF16
ENSG00000162591	1	3394373	3517919	MEGF6
ENSG00000207776	1	3467119	3467214	hsa-mir-551a
ENSG00000158109	1	3531416	3536549	TPRG1L
ENSG00000116213	1	3537191	3556504	WDR8
ENSG00000078900	1	3558989	3639716	TP73
ENSG00000162592	1	3658822	3678069	CCDC27
ENSG00000130764	1	3686644	3702928	LRRC47
ENSG00000222446	1	3689239	3689533	SRP_euk_arch
ENSG00000116198	1	3721204	3763657	KIAA0562
ENSG00000169598	1	3763705	3791853	DFFB
ENSG00000198912	1	3795563	3806709	C1orf174
ENSG00000220404	1	4135448	4135819	RP11-374C13.1
ENSG00000196581	1	4614965	4743711	AJAP1
ENSG00000216045	1	5798518	5798606	AL356693.37
ENSG00000131697	1	5845457	5975118	NPHP4
ENSG00000069424	1	5974113	6083840	KCNAB2
ENSG00000116254	1	6084440	6162770	CHD5
ENSG00000116251	1	6167668	6182266	RPL22
ENSG00000158286	1	6188477	6203946	C1orf188
ENSG00000116237	1	6203840	6218631	ICMT
ENSG00000173673	1	6226849	6228225	HES3
ENSG00000158292	1	6229993	6243622	GPR153
ENSG00000097021	1	6246920	6376413	ACOT7
ENSG00000069812	1	6395065	6407317	HES2
ENSG00000187017	1	6407435	6443591	ESPN
ENSG00000215788	1	6443798	6448855	TNFRSF25
ENSG00000171680	1	6448739	6502708	PLEKHG5
ENSG00000162408	1	6507809	6537168	NOL9
ENSG00000209367	1	6523501	6523581	AL591866.13
ENSG00000219043	1	6530553	6531270	RP11-58A11.2
ENSG00000173662	1	6538021	6562403	TAS1R1
ENSG00000204859	1	6562643	6571926	ZBTB48
ENSG00000162413	1	6573371	6585648	KLHL21
ENSG00000116273	1	6596332	6606643	PHF13
ENSG00000041988	1	6607513	6618219	THAP3
ENSG00000007923	1	6616818	6684460	DNAJC11
ENSG00000171735	1	6767971	7752350	CAMTA1
ENSG00000219260	1	6816980	6817265	RP11-312B8.2
ENSG00000207056	1	7202007	7202171	U1
ENSG00000049245	1	7753916	7770120	VAMP3
ENSG00000049246	1	7766967	7827824	PER3
ENSG00000049247	1	7825730	7836159	UTS2
ENSG00000049249	1	7902495	7923474	TNFRSF9
ENSG00000209371	1	7912926	7912995	AL009183.10
ENSG00000116288	1	7944348	7967928	PARK7
ENSG00000200344	1	7965528	7965630	Y_RNA
ENSG00000116285	1	7994382	8008943	ERRFI1
ENSG00000219182	1	8039892	8041110	CTA-215D11.4
ENSG00000217234	1	8172471	8175417	RP11-431K24.2
ENSG00000200975	1	8189081	8189244	U1
ENSG00000209383	1	8274810	8274910	AL356072.21-1
ENSG00000162426	1	8300756	8326814	SLC45A1
ENSG00000206757	1	8310714	8310826	Y_RNA
ENSG00000142599	1	8335053	8800286	RERE
ENSG00000221083	1	8494441	8494565	SNORA77
ENSG00000218821	1	8733076	8733733	RP4-633I8.1
ENSG00000217932	1	8768849	8769581	RP4-633I8.2
ENSG00000222511	1	8779217	8779318	Y_RNA
ENSG00000209385	1	8779220	8779313	AL357552.25-1
ENSG00000217799	1	8781121	8782152	RP4-633I8.3
ENSG00000220487	1	8813760	8814018	RP11-185B14.1
ENSG00000074800	1	8843650	8861367	ENO1
ENSG00000201725	1	8866073	8866179	U6
ENSG00000183445	1	8876065	8876490	AL139415.10-1
ENSG00000220443	1	8890093	8890390	RP3-477M7.5
ENSG00000218059	1	8892406	8892552	RP3-477M7.6
ENSG00000131686	1	8928509	8957733	CA6
ENSG00000222052	1	8962224	8962520	SRP_euk_arch
ENSG00000197241	1	8985946	9008991	SLC2A7
ENSG00000142583	1	9019594	9052257	SLC2A5
ENSG00000212602	1	9065342	9065525	SCARNA16
ENSG00000180758	1	9086668	9111837	GPR157
ENSG00000207865	1	9134314	9134423	hsa-mir-34a
ENSG00000049239	1	9217450	9253983	H6PD
ENSG00000223319	1	9261037	9261179	Z98044.13
ENSG00000171621	1	9275571	9352175	SPSB1
ENSG00000209395	1	9420354	9420424	AL928921.21
ENSG00000171612	1	9522115	9565415	SLC25A33
ENSG00000219947	1	9559072	9559630	RP13-15M17.1
ENSG00000188807	1	9571564	9595728	TMEM201
ENSG00000171608	1	9634377	9711759	PIK3CD
ENSG00000179840	1	9635266	9637231	C1orf200
ENSG00000220970	1	9643479	9645273	RP11-558F24.2
ENSG00000171603	1	9711667	9807137	CLSTN1
ENSG00000178585	1	9830921	9892908	CTNNBIP1
ENSG00000162441	1	9911584	9926052	LZIC
ENSG00000173614	1	9926073	9968143	NMNAT1
ENSG00000202415	1	9929963	9930281	7SK
ENSG00000162444	1	9979849	9998665	RBP7
ENSG00000130939	1	10015603	10163876	UBE4B
ENSG00000218707	1	10037090	10037426	RP11-496H15.2
ENSG00000219161	1	10041316	10042297	RP11-496H15.3
ENSG00000201746	1	10145917	10146019	U6
ENSG00000054523	1	10193418	10364248	KIF1B
ENSG00000199562	1	10281611	10281717	U6
ENSG00000142657	1	10381668	10402788	PGD
ENSG00000175279	1	10412746	10434797	APITD1
ENSG00000160049	1	10443192	10455200	DFFA
ENSG00000142655	1	10457590	10613400	PEX14
ENSG00000209421	1	10599480	10599759	AL139423.25
ENSG00000130940	1	10619267	10779294	CASZ1
ENSG00000217499	1	10878408	10879284	RP11-340B24.3
ENSG00000175262	1	10929120	10946877	C1orf127
ENSG00000215785	1	10973429	10974441	AL358492.19
ENSG00000207213	1	10982506	10982589	Y_RNA
ENSG00000120948	1	10995266	11008133	TARDBP
ENSG00000009724	1	11008649	11029883	MASP2
ENSG00000116649	1	11037236	11042678	SRM
ENSG00000171824	1	11049268	11082525	EXOSC10
ENSG00000198793	1	11089179	11245176	FRAP1
ENSG00000209426	1	11134994	11135057	AL391561.20
ENSG00000171819	1	11171985	11178624	ANGPTL7
ENSG00000207451	1	11208898	11209004	U6
ENSG00000217890	1	11215607	11215756	RP4-647M16.1
ENSG00000120942	1	11255866	11277699	UBIAD1
ENSG00000218462	1	11261260	11261995	RP4-796F18.2
ENSG00000216706	1	11407902	11408478	RP11-149P14.1
ENSG00000204624	1	11461882	11520226	PTCHD2
ENSG00000116661	1	11631033	11637326	FBXO2
ENSG00000132879	1	11637019	11645971	FBXO44
ENSG00000116663	1	11646768	11656994	FBXO6
ENSG00000116670	1	11657125	11674294	MAD2L2
ENSG00000162490	1	11674366	11703237	C1orf187
ENSG00000177674	1	11718729	11733412	AGTRAP
ENSG00000177553	1	11749386	11760935	C1orf167
ENSG00000215910	1	11754766	11772228	C1orf167
ENSG00000177000	1	11768367	11788702	MTHFR
ENSG00000116685	1	11782803	11909072	KIAA2013
ENSG00000011021	1	11788794	11825788	CLCN6
ENSG00000175206	1	11828356	11830989	NPPA
ENSG00000120937	1	11840109	11841579	NPPB
ENSG00000220120	1	11860414	11863050	RP5-934G17.6
ENSG00000199347	1	11890796	11890915	U5
ENSG00000201801	1	11892452	11892571	U5
ENSG00000083444	1	11917333	11958182	PLOD1
ENSG00000116688	1	11962956	11996154	MFN2
ENSG00000116691	1	12002099	12014693	RP5-1077B9.4
ENSG00000202461	1	12006656	12006768	Y_RNA
ENSG00000209447	1	12019384	12019654	AL096840.25-1
ENSG00000120949	1	12046021	12126851	TNFRSF8
ENSG00000201135	1	12060525	12060628	U6
ENSG00000197413	1	12062895	12063192	RP11-426M1.2
ENSG00000028137	1	12149647	12191863	TNFRSF1B
ENSG00000219226	1	12203436	12203753	RP5-1118D24.2
ENSG00000048707	1	12212700	12494686	VPS13D
ENSG00000209457	1	12391818	12391891	AL109757.14
ENSG00000209463	1	12512979	12513062	AL031296.1
ENSG00000162496	1	12550526	12600381	DHRS3
ENSG00000221340	1	12552587	12552687	U6atac
ENSG00000204518	1	12627153	12649684	AADACL4
ENSG00000216807	1	12675510	12675614	RP11-474O21.2
ENSG00000188984	1	12698705	12711313	AADACL3
ENSG00000209466	1	12722280	12722383	AL513016.5
ENSG00000157330	1	12728750	12743688	C1orf158
ENSG00000116726	1	12757584	12760636	PRAMEF12
ENSG00000116721	1	12774133	12844828	PRAMEF1
ENSG00000204513	1	12807067	12811110	PRAMEF11
ENSG00000216967	1	12820910	12823797	RP5-845O24.3
ENSG00000179172	1	12829848	12831165	HNRNPCL1
ENSG00000120952	1	12839528	12844351	PRAMEF2
ENSG00000116708	1	12861623	12927847	PRAMEF4
ENSG00000187545	1	12875314	12880681	PRAMEF10
ENSG00000204510	1	12899037	12903156	PRAMEF7
ENSG00000207434	1	12904961	12905067	U6
ENSG00000217021	1	12908577	12910668	RP11-450I1.2
ENSG00000204509	1	12920768	12930007	PRAMEF6
ENSG00000218843	1	12935553	12938342	RP11-450I1.4
ENSG00000204508	1	12958109	12960968	PRAMEF22
ENSG00000204507	1	13031101	13040338	PRAMEF23
ENSG00000204505	1	13063043	13067587	BX640550.4-1
ENSG00000217093	1	13085232	13088030	RP13-221M14.3
ENSG00000217992	1	13094458	13095744	RP13-221M14.4
ENSG00000179412	1	13105578	13106459	BX640550.4-2
ENSG00000216520	1	13118857	13121654	WI2-2994D6.1
ENSG00000204503	1	13200783	13204302	PRAMEF3
ENSG00000220218	1	13224069	13226910	RP11-248D7.2
ENSG00000204502	1	13232406	13241644	PRAMEF5
ENSG00000217838	1	13251736	13253824	RP11-219C24.8
ENSG00000207511	1	13257322	13257428	U6
ENSG00000182330	1	13259233	13263352	PRAMEF8
ENSG00000220732	1	13284138	13287069	RP11-219C24.6
ENSG00000204501	1	13293763	13300778	PRAMEF9
ENSG00000204495	1	13320001	13325243	PRAMEF13
ENSG00000204491	1	13346640	13350156	PRAMEF18
ENSG00000204488	1	13367853	13370847	PRAMEF16
ENSG00000204486	1	13388653	13399530	PRAMEF21
ENSG00000204485	1	13480018	13484137	BX470067.4
ENSG00000218764	1	13504935	13507866	XX-FW84067D5.2
ENSG00000157358	1	13514560	13521575	PRAMEF15
ENSG00000204481	1	13540856	13546098	PRAMEF14
ENSG00000204480	1	13567476	13570992	PRAMEF19
ENSG00000204479	1	13588687	13591651	PRAMEF17
ENSG00000204478	1	13609494	13620390	PRAMEF20
ENSG00000162494	1	13674057	13712829	LRRC38
ENSG00000215909	1	13754083	13754781	AL354712.18
ENSG00000162493	1	13782839	13817039	PDPN
ENSG00000222952	1	13822266	13822366	5S_rRNA
ENSG00000116731	1	13899322	14024162	PRDM2
ENSG00000218328	1	14092718	14379674	C1orf196
ENSG00000209090	1	14323316	14323419	Z99291.1
ENSG00000189337	1	14797787	15317130	RP1-21O18.1
ENSG00000220121	1	14891212	14891696	RP3-410I8.1
ENSG00000203390	1	14912036	14912453	AL031732.8
ENSG00000175147	1	15315035	15351547	C1orf126
ENSG00000171729	1	15351649	15419561	TMEM51
ENSG00000204464	1	15367560	15370400	C1orf195
ENSG00000215720	1	15390902	15391868	AL035405.13
ENSG00000142621	1	15435808	15597210	FHAD1
ENSG00000142634	1	15609020	15629413	EFHD2
ENSG00000162438	1	15637522	15652128	CTRC
ENSG00000142615	1	15655811	15671167	RP11-265F14.1
ENSG00000215704	1	15675183	15690479	RP11-265F14.2
ENSG00000132906	1	15687322	15723527	CASP9
ENSG00000116138	1	15725895	15775174	DNAJC16
ENSG00000221765	1	15741247	15741386	SCARNA21
ENSG00000116771	1	15771739	15784192	AGMAT
ENSG00000142635	1	15803679	15804125	RP4-680D5.3
ENSG00000216891	1	15813725	15813949	RP4-680D5.4
ENSG00000197312	1	15816625	15859335	DDI2
ENSG00000215695	1	15858951	15860804	RSC1A1
ENSG00000116786	1	15883414	15933849	PLEKHM2
ENSG00000162461	1	15935396	15940471	SLC25A34
ENSG00000162460	1	15941504	15947064	TMEM82
ENSG00000162458	1	15955741	15985676	FBLIM1
ENSG00000216400	1	15991878	15992367	RP11-169K16.6
ENSG00000197883	1	16006456	16006731	RP11-169K16.7
ENSG00000216318	1	16027314	16027751	RP11-169K16.8
ENSG00000179743	1	16033561	16047229	AL450998.19
ENSG00000065526	1	16046946	16139537	SPEN
ENSG00000209487	1	16109979	16110077	AL034555.2
ENSG00000116809	1	16140953	16175191	ZBTB17
ENSG00000217471	1	16168711	16169278	RP11-5P18.1
ENSG00000220398	1	16187264	16187523	RP11-5P18.3
ENSG00000217309	1	16188953	16193833	RP11-5P18.2
ENSG00000183888	1	16203318	16207889	C1orf64
ENSG00000173641	1	16213114	16218551	HSPB7
ENSG00000186510	1	16220953	16233132	CLCNKA
ENSG00000218575	1	16234260	16239111	RP11-5P18.10
ENSG00000184908	1	16242834	16256390	CLCNKB
ENSG00000185519	1	16256852	16272714	FAM131C
ENSG00000142627	1	16323420	16355151	EPHA2
ENSG00000142632	1	16397186	16411691	ARHGEF19
ENSG00000204377	1	16427757	16428681	C1orf134
ENSG00000132881	1	16430782	16436178	C1orf89
ENSG00000185647	1	16440295	16440480	MTL1
ENSG00000037637	1	16449147	16551535	FBXO42
ENSG00000055070	1	16566307	16597224	C1orf144
ENSG00000218185	1	16568232	16568612	RP11-430L17.1
ENSG00000187144	1	16594763	16636506	SPATA21
ENSG00000157191	1	16639806	16659159	NECAP2
ENSG00000080947	1	16666518	16691691	CROCCL2
ENSG00000206652	1	16713204	16713367	U1
ENSG00000197511	1	16734842	16737256	AL355149.13-3
ENSG00000209511	1	16746747	16746819	AL355149.13-1
ENSG00000219099	1	16747733	16751613	RP5-875O13.6
ENSG00000209524	1	16752544	16752615	AL355149.13-2
ENSG00000179571	1	16762999	16812569	NBPF1
ENSG00000215908	1	16817340	16830035	CROCCL1
ENSG00000186543	1	16828752	16843765	AL137798.8-2
ENSG00000186301	1	16843841	16849428	AL137798.8-1
ENSG00000207513	1	16865867	16866030	U1
ENSG00000188605	1	16872085	16872594	AL137798.8-3
ENSG00000157819	1	16884703	16885137	AL021920.1-1
ENSG00000116219	1	16886421	16919239	ESPNP
ENSG00000209530	1	16924648	16924720	AL021920.1-2
ENSG00000189092	1	16933034	16933543	AL021920.1-3
ENSG00000207389	1	16939598	16939761	U1
ENSG00000216773	1	16949315	16950046	RP1-163M9.5
ENSG00000186715	1	16953992	16963562	MSTP9
ENSG00000209540	1	17053487	17053558	BX284668.4-1
ENSG00000209545	1	17059280	17059352	BX284668.4-2
ENSG00000196690	1	17068841	17071255	BX284668.4-3
ENSG00000199554	1	17072790	17072934	U1
ENSG00000219219	1	17088177	17088684	RP11-108M9.5
ENSG00000207005	1	17095062	17095225	U1
ENSG00000058453	1	17121032	17172061	CROCC
ENSG00000117122	1	17173584	17179760	MFAP2
ENSG00000159363	1	17185040	17211010	ATP13A2
ENSG00000117118	1	17217817	17253252	SDHB
ENSG00000117115	1	17265843	17318535	PADI2
ENSG00000204362	1	17388865	17396699	AL590644.14
ENSG00000142623	1	17404208	17445088	PADI1
ENSG00000142619	1	17448180	17483315	PADI3
ENSG00000159339	1	17507277	17563082	PADI4
ENSG00000197996	1	17571328	17600782	PADI6
ENSG00000179051	1	17605866	17638807	RCC2
ENSG00000074964	1	17738917	17896956	ARHGEF10L
ENSG00000117148	1	17954395	18026145	ACTL8
ENSG00000117154	1	18306827	18577563	IGSF21
ENSG00000179023	1	18680011	18685207	KLHDC7A
ENSG00000124854	1	18712199	18712468	RP1-8B22.1
ENSG00000220266	1	18794493	18794699	RP1-8B22.2
ENSG00000009709	1	18830087	18944010	PAX7
ENSG00000179002	1	19038680	19058742	TAS1R2
ENSG00000159423	1	19070513	19101659	ALDH4A1
ENSG00000221662	1	19096152	19096229	hsa-mir-1290
ENSG00000169991	1	19103362	19154930	IFFO2
ENSG00000127481	1	19273587	19409333	UBR4
ENSG00000127463	1	19417172	19450633	KIAA0090
ENSG00000053372	1	19450662	19459209	MRTO4
ENSG00000211454	1	19465065	19473155	AKR7L
ENSG00000162482	1	19481644	19487867	AKR7A3
ENSG00000053371	1	19503046	19511227	AKR7A2
ENSG00000200403	1	19504157	19504263	U6
ENSG00000040487	1	19511327	19528380	PQLC2
ENSG00000077549	1	19537857	19684594	CAPZB
ENSG00000209568	1	19623465	19623680	AL445163.22
ENSG00000201609	1	19709674	19709814	U4
ENSG00000209589	1	19731251	19731355	AL359199.34-1
ENSG00000173436	1	19796054	19839759	C1orf151
ENSG00000218307	1	19807195	19807649	RP5-1056L3.3
ENSG00000158747	1	19842313	19857532	NBL1
ENSG00000158748	1	19864367	19878642	HTR6
ENSG00000162542	1	19881320	19998997	TMCO4
ENSG00000178828	1	20013109	20014358	RNF186
ENSG00000169914	1	20081475	20112016	OTUD3
ENSG00000188784	1	20119387	20122697	PLA2G2E
ENSG00000222554	1	20170049	20170347	SRP_euk_arch
ENSG00000209591	1	20170050	20170349	AL358253.16-1
ENSG00000188257	1	20174516	20179496	PLA2G2A
ENSG00000127472	1	20227259	20290978	PLA2G5
ENSG00000117215	1	20311065	20318595	PLA2G2D
ENSG00000158786	1	20338406	20349466	PLA2G2F
ENSG00000187980	1	20363071	20374274	PLA2G2C
ENSG00000162543	1	20385168	20395126	UBXN10
ENSG00000158816	1	20490017	20553343	VWA5B1
ENSG00000162545	1	20681472	20685315	CAMK2N1
ENSG00000090432	1	20698530	20707241	MUL1
ENSG00000215520	1	20725069	20725824	AL391357.20-1
ENSG00000183114	1	20751519	20754087	FAM43B
ENSG00000158825	1	20788031	20817985	CDA
ENSG00000158828	1	20832535	20850590	PINK1
ENSG00000215511	1	20849443	20849794	AL391357.20-2
ENSG00000117242	1	20850847	20860624	DDOST
ENSG00000117245	1	20863094	20917097	KIF17
ENSG00000220315	1	20891814	20893093	RP5-930J4.5
ENSG00000189410	1	20918812	20931720	SH2D5
ENSG00000127483	1	20941758	20985768	HP1BP3
ENSG00000075151	1	21005559	21375927	EIF4G3
ENSG00000221808	1	21187394	21187512	hsa-mir-1256
ENSG00000218446	1	21202630	21203014	RP11-487E1.1
ENSG00000220155	1	21272650	21272833	RP11-487E1.2
ENSG00000215056	1	21360555	21361161	RP11-628K18.1
ENSG00000117298	1	21417664	21544584	ECE1
ENSG00000182068	1	21597067	21597442	RP11-560O15.1
ENSG00000218345	1	21610540	21612373	RP11-293F5.8
ENSG00000209594	1	21613301	21613372	AL592309.24-1
ENSG00000204265	1	21623705	21627047	RP11-293F5.2
ENSG00000187952	1	21627382	21628617	AL592309.24-3
ENSG00000219089	1	21633398	21636638	RP11-293F5.4
ENSG00000142794	1	21639217	21684085	NBPF3
ENSG00000176378	1	21658742	21659165	AL592309.24-2
ENSG00000162551	1	21708445	21777492	ALPL
ENSG00000221781	1	21791491	21791628	AL359815.26
ENSG00000076864	1	21795302	21868390	RAP1GAP
ENSG00000090686	1	21877378	21982275	USP48
ENSG00000220235	1	21967349	21967709	RP11-132G19.3
ENSG00000187942	1	22011345	22024301	LDLRAD2
ENSG00000142798	1	22021325	22136297	HSPG2
ENSG00000220169	1	22107178	22107660	RP11-26H16.1
ENSG00000219073	1	22175999	22188432	ELA3B
ENSG00000209600	1	22186561	22186857	AL590556.20-1
ENSG00000222237	1	22186561	22186855	SRP_euk_arch
ENSG00000201919	1	22186896	22186999	U6
ENSG00000142789	1	22200736	22224238	ELA3A
ENSG00000222988	1	22209730	22210024	SRP_euk_arch
ENSG00000209608	1	22209730	22210026	AL590556.20-2
ENSG00000201273	1	22210065	22210168	U6
ENSG00000218510	1	22229736	22230209	AL031281.6
ENSG00000070831	1	22235157	22292024	CDC42
ENSG00000162552	1	22316385	22342106	WNT4
ENSG00000198137	1	22521929	22522411	AL591122.20
ENSG00000184677	1	22650931	22730237	ZBTB40
ENSG00000070886	1	22762591	22802674	EPHA8
ENSG00000173372	1	22835705	22838762	C1QA
ENSG00000159189	1	22842713	22847190	C1QC
ENSG00000173369	1	22852269	22860616	C1QB
ENSG00000133216	1	22909918	23114410	EPHB2
ENSG00000216157	1	22947897	22947991	AL611946.14
ENSG00000215906	1	23152129	23162300	AL035704.9
ENSG00000004487	1	23218533	23282771	AOF2
ENSG00000169641	1	23283110	23367897	LUZP1
ENSG00000206935	1	23361784	23361890	U6
ENSG00000209629	1	23363033	23363117	AL049576.19-1
ENSG00000179546	1	23389580	23393809	HTR1D
ENSG00000215381	1	23443836	23444311	RPL29P6
ENSG00000125944	1	23508863	23543440	HNRNPR
ENSG00000125945	1	23558528	23568944	ZNF436
ENSG00000187251	1	23568051	23576771	C1orf213
ENSG00000201405	1	23569334	23569426	Y_RNA
ENSG00000204219	1	23579510	23623848	TCEA3
ENSG00000220249	1	23609912	23611232	RP4-654C18.1
ENSG00000088280	1	23627643	23683285	ASAP3
ENSG00000203345	1	23691804	23692013	AL021154.1-1
ENSG00000007968	1	23705509	23730300	E2F2
ENSG00000203344	1	23712003	23712141	AL021154.1-2
ENSG00000203343	1	23722899	23723146	AL021154.1-3
ENSG00000117318	1	23757012	23758570	ID3
ENSG00000197880	1	23826411	23839643	MDS2
ENSG00000219310	1	23869371	23876985	RP11-223J15.2
ENSG00000142676	1	23890881	23895502	RPL11
ENSG00000216786	1	23904878	23906011	RP5-886K2.1
ENSG00000209640	1	23935686	23935967	AL031295.1-1
ENSG00000222763	1	23935706	23935967	SRP_euk_arch
ENSG00000011007	1	23942549	23958974	TCEB3
ENSG00000057757	1	23977470	23987309	C1orf128
ENSG00000011009	1	23990233	23994614	LYPLA2
ENSG00000117308	1	23994676	23999881	GALE
ENSG00000117305	1	24000955	24025264	HMGCL
ENSG00000179163	1	24044161	24067408	FUCA1
ENSG00000188822	1	24073047	24112404	CNR2
